sex,race,truth_count,match_count
F,INDIAN,103,65
F,CHINESE,80,48
F,INDIAN,90,59
M,CHINESE,96,63
M,CHINESE,80,57
M,INDIAN,83,61
M,MALAY,74,56
M,MALAY,91,57
M,CHINESE,80,54
F,INDIAN,87,55
F,INDIAN,79,52
M,CHINESE,86,51
M,CHINESE,76,44
F,CHINESE,76,53
M,INDIAN,89,64
F,MALAY,82,43
F,CHINESE,80,50
F,INDIAN,92,64
F,INDIAN,83,57
M,CHINESE,67,47
M,CHINESE,80,50
M,MALAY,72,52
F,CHINESE,85,60
F,CHINESE,82,52
M,CHINESE,85,57
